symbol,date,wert,VORJAHRESWERT,VERAEND_VORMONAT_PROZENT,VERAEND_VORJAHRESMONAT_PROZENT,ZWOELF_MONATE_MITTELWERT
Neue Pinakothek,Oct 2015,1735,19157,8575,"-90,94",15019
Neue Pinakothek,Nov 2015,13632,15730,"685,71","-13,34",14844
Neue Pinakothek,Dec 2015,14199,16133,"4,16","-11,99",14683
Neue Pinakothek,Jan 2016,17200,18655,"21,14","-7,8",14561
Neue Pinakothek,Feb 2016,16960,14513,"-1,4","16,86",14765
Neue Pinakothek,Mar 2016,20289,17946,"19,63","13,06",14961
Neue Pinakothek,Apr 2016,18140,15399,"-10,59","17,8",15189
Neue Pinakothek,May 2016,16041,20535,"-11,57","-21,88",14814
Neue Pinakothek,Jun 2016,17756,15397,"10,69","15,32",15011
Neue Pinakothek,Jul 2016,21160,20488,"19,17","3,28",15067
Neue Pinakothek,Aug 2016,19210,23672,"-9,22","-18,85",14695
Neue Pinakothek,Sep 2016,12636,20,"-34,22",63080,15747
Neue Pinakothek,Oct 2016,21680,1735,"71,57","1149,57",17409
Neue Pinakothek,Nov 2016,17438,13632,"-19,57","27,92",17726
Neue Pinakothek,Dec 2016,16878,14199,"-3,21","18,87",17949
Museum Mensch und Natur,Jan 2012,18211,21291,"86,44","-14,47",15181
Museum Mensch und Natur,Feb 2012,14486,23648,"-20,45","-38,74",14418
Museum Mensch und Natur,Mar 2012,12783,23351,"-11,76","-45,26",13537
Museum Mensch und Natur,Apr 2012,23250,10386,"81,88","123,86",14609
Museum Mensch und Natur,May 2012,11670,9260,"-49,81","26,03",14810
Museum Mensch und Natur,Jun 2012,13650,16566,"16,97","-17,6",14567
Museum Mensch und Natur,Jul 2012,16513,19400,"20,97","-14,88",14326
Museum Mensch und Natur,Aug 2012,10742,15650,"-34,95","-31,36",13917
Museum Mensch und Natur,Sep 2012,11199,8809,"4,25","27,13",14116
Museum Mensch und Natur,Oct 2012,14906,14243,"33,1","4,65",14172
Museum Mensch und Natur,Nov 2012,11755,12880,"-21,14","-8,73",14078
Museum Mensch und Natur,Dec 2012,13791,9768,"17,32","41,19",14413
Museum Mensch und Natur,Jan 2013,17876,18211,"29,62","-1,84",14385
Museum Mensch und Natur,Feb 2013,21034,14486,"17,67","45,2",14931
Museum Mensch und Natur,Mar 2013,25800,12783,"22,66","101,83",16016
Museum Mensch und Natur,Apr 2013,30552,23250,"18,42","31,41",16624
Museum Mensch und Natur,May 2013,33810,11670,"10,66","189,72",18469
Museum Mensch und Natur,Jun 2013,20676,13650,"-38,85","51,47",19055
Museum Mensch und Natur,Jul 2013,11486,16513,"-44,45","-30,44",18636
Museum Mensch und Natur,Aug 2013,11711,10742,"1,96","9,02",18716
Museum Mensch und Natur,Sep 2013,9911,11199,"-15,37","-11,5",18609
Museum Mensch und Natur,Oct 2013,14966,14906,51,"0,4",18614
Museum Mensch und Natur,Nov 2013,14231,11755,"-4,91","21,06",18820
Museum Mensch und Natur,Dec 2013,8474,13791,"-40,45","-38,55",18377
Museum Mensch und Natur,Jan 2014,17965,17876,112,"0,5",18385
Museum Mensch und Natur,Feb 2014,15362,21034,"-14,49","-26,97",17912
Museum Mensch und Natur,Mar 2014,15092,25800,"-1,76","-41,5",17020
Museum Mensch und Natur,Apr 2014,23155,30552,"53,43","-24,21",16403
Museum Mensch und Natur,May 2014,18620,33810,"-19,59","-44,93",15137
Museum Mensch und Natur,Jun 2014,12237,20676,"-34,28","-40,82",14434
Museum Mensch und Natur,Jul 2014,19248,11486,"57,29","67,58",15081
Museum Mensch und Natur,Aug 2014,26595,11711,"38,17","127,09",16321
Museum Mensch und Natur,Sep 2014,13509,9911,"-49,2","36,3",16621
Museum Mensch und Natur,Oct 2014,13879,14966,"2,74","-7,26",16531
Museum Mensch und Natur,Nov 2014,9730,14231,"-29,89","-31,63",16156
Museum Mensch und Natur,Dec 2014,6401,8474,"-34,21","-24,46",15983
Museum Mensch und Natur,Jan 2015,12983,17965,"102,83","-27,73",15568
Museum Mensch und Natur,Feb 2015,12742,15362,"-1,86","-17,06",15349
Museum Mensch und Natur,Mar 2015,13122,15092,"2,98","-13,05",15185
Museum Mensch und Natur,Apr 2015,12453,23155,"-5,1","-46,22",14293
